dia,hora,tipologia,parroquia_urbana,causas,nro_heridos,nro_fallecidos
miercoles,h13,atropello,punzara,imprudencia del peaton,1,0
jueves,h20,atropello,sucre,negligencia del conductor,1,0
viernes,h18,choque lateral perpendicular,san sebastian,condiciones climaticas desfavorables,1,0
viernes,h21,estrellamiento,carigan,fallas mecanicas no previsibles,0,0
sabado,h19,choque lateral perpendicular,el sagrario,imprudencia del conductor,0,0
sabado,h20,estrellamiento,san sebastian,imprudencia del conductor,0,0
domingo,h20,estrellamiento,sucre,imprudencia del conductor,0,0
domingo,h02,choque frontal longitudinal,sucre,conducir en estado de embriaguez,1,0
lunes,h17,atropello,sucre,conducir en estado de embriaguez,0,0
lunes,h20,choque lateral perpendicular,el sagrario,condiciones climaticas desfavorables,1,0
martes,h12,choque lateral angular,sucre,no ceder el derecho de via,0,0
miercoles,h12,roce negativo,punzara,cambio brusco e indebido de carril,0,0
miercoles,h03,estrellamiento,el sagrario,no mantener la distancia reglamentaria,0,0
viernes,h16,colision,sucre,negligencia del conductor,0,0
viernes,h17,atropello,el valle,imprudencia del peaton,1,0
viernes,h01,estrellamiento,el valle,imprudencia del conductor,0,0
sabado,h08,choque lateral angular,san sebastian,conducir en estado de embriaguez,1,0
sabado,h05,estrellamiento,el valle,conducir en estado de embriaguez,0,0
sabado,h01,choque lateral angular,punzara,conducir en estado de embriaguez,0,0
domingo,h14,atropello,san sebastian,imprudencia del peaton,1,0
domingo,h23,choque lateral angular,el sagrario,imprudencia del conductor,0,0
lunes,h03,roce negativo,san sebastian,imprudencia del conductor,0,0
miercoles,h14,choque lateral perpendicular,punzara,cambio brusco e indebido de carril,0,0
miercoles,h13,estrellamiento,carigan,imprudencia del conductor,0,0
miercoles,h07,choque por alcance,carigan,conducir en estado de embriaguez,0,0
sabado,h08,choque lateral perpendicular,el sagrario,negligencia del conductor,0,0
sabado,h08,estrellamiento,sucre,negligencia del conductor,0,0
