fecha,dia,hora,tipologia,direccion,zona,parroquia_urbana,causas,nro_heridos,nro_fallecidos
01-01,lunes,10:35,estrellamiento,espana y chile,urbana,punzara,razones desconocidas,0,0
01-30,martes,23:06,estrellamiento,manuel carrion pinzano y maria de leiva,urbana,sucre,razones desconocidas,0,0
01-08,lunes,19:40,choque lateral angular,cuxibamba y guaranda,urbana,sucre,razones desconocidas,0,0
01-08,lunes,20:50,choque por alcance,isidro ayora,urbana,sucre,razones desconocidas,0,0
01-13,sabado,03:56,atropello,villonaco,urbana,sucre,razones desconocidas,0,1
01-14,domingo,16:40,perdida de carril,pablo palacios,urbana,carigan,razones desconocidas,0,0
01-14,domingo,17:15,estrellamiento,placido caamano y velazco ibarra,urbana,sucre,razones desconocidas,0,0
01-14,domingo,02:28,choque lateral perpendicular,salvador bustamante celi y guayaquil,urbana,el valle,razones desconocidas,0,0
01-16,martes,08:29,atropello,orillas del zamora y clodoveo carrion,urbana,el sagrario,razones desconocidas,1,0
01-17,miercoles,18:40,choque por alcance,velasco ibarra y jaime roldos,urbana,sucre,razones desconocidas,1,0
01-18,jueves,12:52,choque lateral angular,benjamin carrion y de los paltas,urbana,punzara,razones desconocidas,0,0
01-18,jueves,19:20,choque lateral angular,estados unidos y grecia,urbana,punzara,razones desconocidas,0,0
01-20,sabado,10:50,choque lateral perpendicular,universitaria y azuay,urbana,el sagrario,razones desconocidas,0,0
01-21,domingo,02:43,perdida de carril,pio jaramillo alvarado y cuba,urbana,punzara,razones desconocidas,2,0
01-22,lunes,22:00,choque lateral angular,manuel zambrano y kennedy,urbana,punzara,razones desconocidas,0,0
01-23,martes,23:35,choque lateral angular,8 de diciembre y placido caamano,urbana,sucre,razones desconocidas,0,0
01-24,miercoles,18:45,atropello,eugenio espejo y la palma,urbana,sucre,razones desconocidas,1,0
01-26,viernes,03:50,estrellamiento,mercadillo y macara,urbana,el sagrario,razones desconocidas,0,0
01-26,viernes,13:24,colision,rocafuerte y olmedo,urbana,el sagrario,razones desconocidas,0,0
01-26,viernes,21:50,estrellamiento,pablo palacios y brasilia,urbana,carigan,razones desconocidas,0,0
01-27,sabado,05:35,choque lateral angular,manuel agustin aguirre y jose felix de valdivieso,urbana,sucre,razones desconocidas,1,0
01-27,sabado,05:00,perdida de carril,ruben dario y francisco garcia,urbana,san sebastian,razones desconocidas,0,1
01-27,sabado,19:50,estrellamiento,8 de diciembre y pablo palacios,urbana,carigan,razones desconocidas,0,0
01-27,sabado,17:20,estrellamiento,francisco valdivieso y juan maria riofrio,urbana,sucre,razones desconocidas,1,0
01-29,lunes,07:01,choque lateral angular,juan jose castillo y antoni vivaldi,urbana,punzara,razones desconocidas,0,0
01-31,miercoles,15:47,atropello,pio jaramillo alvarado y tnt. geovanny,urbana,punzara,razones desconocidas,0,1
02-01,jueves,16:36,atropello,mexico entre curazao y brasil,urbana,punzara,razones desconocidas,1,0
02-03,sabado,22:32,choque lateral angular,nueva loja y isidro ayora,urbana,sucre,razones desconocidas,0,0
02-04,domingo,06:45,estrellamiento,orillas del zamora y juan de arderete,urbana,el valle,razones desconocidas,0,0
02-04,domingo,20:55,choque lateral angular,juan jose pena y mercadillo,urbana,el sagrario,razones desconocidas,0,0
02-06,martes,18:55,choque lateral angular,eduardo kingman y alamor,urbana,san sebastian,razones desconocidas,0,0
02-07,miercoles,19:47,choque lateral angular,isidro ayora y diamantina,urbana,sucre,razones desconocidas,3,0
02-07,miercoles,23:27,choque lateral angular,olmedo e imbabura,urbana,el sagrario,razones desconocidas,4,0
02-08,jueves,17:50,choque lateral angular,juan de salinas y bolivar,urbana,el sagrario,razones desconocidas,0,0
02-08,jueves,17:30,choque lateral angular,salvador bustamante celi y agustin palacios,urbana,el valle,razones desconocidas,1,0
02-08,jueves,16:48,choque lateral angular,juan jose pena y azuay,urbana,el sagrario,razones desconocidas,0,0
02-09,viernes,22:45,choque lateral angular,manuel agustin aguirre y jose antonio,urbana,el sagrario,razones desconocidas,0,0
02-10,sabado,01:04,estrellamiento,salvador bustamante celi y agustin lara,urbana,el valle,razones desconocidas,0,0
02-10,sabado,00:55,estrellamiento,angel felicisimo rojas,urbana,sucre,razones desconocidas,2,1
02-10,sabado,15:40,atropello,pio jaramillo alvarado y gobernacion de mainas,urbana,punzara,razones desconocidas,1,0
02-14,miercoles,19:20,atropello,orrillas del zamora e imbabura,urbana,el sagrario,razones desconocidas,1,0
02-14,miercoles,17:25,choque por alcance,chile y cuba,urbana,punzara,razones desconocidas,1,0
02-14,miercoles,06:40,choque lateral angular,10 de agosto y 24 de mayo,urbana,el sagrario,razones desconocidas,0,0
02-15,jueves,18:15,choque por alcance,18 de noviembre y catacocha,urbana,san sebastian,razones desconocidas,0,0
02-18,domingo,03:54,choque lateral angular,8 de diciembre y belisario moreno,urbana,carigan,razones desconocidas,0,0
02-18,domingo,12:30,atropello,velazco ibarra y placido caamano,urbana,sucre,razones desconocidas,1,0
02-18,domingo,19:15,choque lateral angular,universitaria y miguel riofrio,urbana,el sagrario,razones desconocidas,1,0
02-19,lunes,19:28,choque lateral angular,de los paltas e ines jimenez,urbana,sucre,razones desconocidas,0,0
02-21,miercoles,19:15,choque lateral angular,macara y lourdes,urbana,el sagrario,razones desconocidas,2,0
02-22,jueves,03:15,perdida de carril,isidro ayora y caracas,urbana,sucre,razones desconocidas,0,0
02-24,sabado,06:00,estrellamiento,esmeraldas y puna,urbana,el valle,razones desconocidas,0,0
02-27,martes,19:50,estrellamiento,chuquiribamba y diego de troya,urbana,carigan,razones desconocidas,0,0
02-28,miercoles,16:18,estrellamiento,guayaquil y portoviejo,urbana,el valle,razones desconocidas,0,0
03-01,jueves,07:19,choque por alcance,gobernacion de mainas y 18 de noviembre,urbana,san sebastian,razones desconocidas,0,0
03-01,jueves,03:25,estrellamiento,santiago de las montanas y daniel alvarez,urbana,el valle,razones desconocidas,0,0
03-02,viernes,21:38,choque lateral angular,juan jose pena y mercadillo,urbana,el sagrario,razones desconocidas,0,0
03-03,sabado,10:51,choque lateral angular,jose felix de valdivieso y bolivar,urbana,el sagrario,razones desconocidas,0,0
03-08,jueves,06:46,perdida de carril,daniel armijos entre salvador bustamante celi y paquisha,urbana,el valle,razones desconocidas,0,0
03-08,jueves,21:05,choque lateral perpendicular,universitaria y miguel riofrio,urbana,el sagrario,razones desconocidas,0,0
03-10,sabado,06:40,choque lateral perpendicular,san carlos y la cruz,urbana,sucre,razones desconocidas,0,0
03-11,domingo,10:20,estrellamiento,machala y guaranda,urbana,sucre,razones desconocidas,0,0
03-11,domingo,01:30,estrellamiento,montevideo y asuncion,urbana,sucre,razones desconocidas,0,0
03-12,lunes,19:00,estrellamiento,orillas del zamora y guayaquil,urbana,el valle,razones desconocidas,0,0
03-13,martes,06:20,choque por alcance,isidro ayora y diamantina,urbana,sucre,razones desconocidas,3,0
03-13,martes,19:53,atropello,24 de mayo y victor vivar,urbana,el sagrario,razones desconocidas,1,0
03-14,miercoles,07:23,choque lateral angular,bernardo valdivieso y quito,urbana,el sagrario,razones desconocidas,0,0
03-16,viernes,20:55,choque lateral perpendicular,pio jaramillo alvarado y manuel benjamin carrion,urbana,punzara,razones desconocidas,0,0
03-16,viernes,22:12,estrellamiento,18 de noviembre y celica,urbana,san sebastian,razones desconocidas,0,0
03-17,sabado,16:50,atropello,villonaco y virgen de monzerrat,urbana,sucre,razones desconocidas,0,1
