fecha,dia,hora,latitud,longitud,tipologia,direccion,zona,parroquia_urbana,causas,gravedad,nro_heridos,nro_fallecidos,vehiculos_retenidos,senalizacion_existente
01-01,miercoles,06:57,-4.010695,-79.213989,estrellamiento,brasil entre gibraltar y andorra,urbana,punzara,conducir en exceso de velocidad,leve,0,0,2,senalizacion vertical
01-01,miercoles,07:00,-4.017907,-79.203843,estrellamiento,pio jaramillo alvarado y juan zenea,urbana,punzara,conducir en exceso de velocidad,leve,0,0,1,senalizacion vertical
01-02,jueves,00:33,-4.0118754,-79.2139194,perdida de carril,canada y francia,urbana,punzara,conducir en estado de embriaguez,leve,0,0,1,senalizacion vertical
01-04,sabado,17:17,-4.0257423,-79.2176424,choque frontal excentrico,de los paltas y juan pio montufar,urbana,punzara,negligencia del conductor,leve,0,0,2,senalizacion vertical
01-04,sabado,19:04,-4.0226841,-79.2174219,atropello,de los paltas y vicente burneo arias,urbana,punzara,imprudencia del peaton,grave,1,0,1,senalizacion vertical
01-13,lunes,20:44,-4.0032903,-79.3211573,estrellamiento,tnte maximiliano rodriguez entre daquilema y shyris,urbana,punzara,conducir en exceso de velocidad,leve,0,0,1,senalizacion vertical
01-17,viernes,01:20,-4.0133012,-79.2060589,estrellamiento,manuel benjamin carrion y tomas,urbana,punzara,conducir en exceso de velocidad,leve,0,0,1,senalizacion vertical
01-18,sabado,15:45,-4.012968,-79.211492,estrellamiento,barrio prados del bosque sn,urbana,punzara,conducir en exceso de velocidad,leve,0,0,1,senalizacion vertical
01-18,sabado,11:45,-4.0412067,-79.1972229,atropello,exodo de yangana,urbana,punzara,imprudencia del peaton,grave,1,0,1,ninguna
01-19,domingo,21:04,-4.004363,-79.215298,perdida de carril,huancilca y cayapas,urbana,punzara,imprudencia del conductor,grave,0,1,1,ninguna
01-23,jueves,06:30,-4.006787,-79.214157,choque por alcance,de los paltas e italia,urbana,punzara,no mantener la distancia reglamentaria,grave,2,0,2,senalizacion vertical
01-25,sabado,05:50,-4.0183217,-79.2038484,choque lateral angular,pio jaramillo alvarado y juan zenea,urbana,punzara,no ceder el derecho de via,grave,1,0,2,senalizacion vertical
01-25,sabado,20:39,-4.0141289,-79.2042652,estrellamiento,pio jaramillo alvarado y john f kennedy,urbana,punzara,conducir en exceso de velocidad,grave,1,0,1,senalizacion vertical
01-26,domingo,16:40,-4.0097307,-79.2046875,estrellamiento,pio jaramillo alvarado y chile,urbana,punzara,no mantener la distancia reglamentaria,leve,0,0,2,senalizacion vertical
01-28,martes,06:31,-4.0127214,-79.2184236,choque lateral perpendicular,estados unidos e irlanda,urbana,punzara,no respetar las senales de transito,grave,1,0,2,senalizacion vertical
02-03,lunes,17:45,-4.032908,-79.21179,perdida de pista,n/n,urbana,punzara,conducir en estado de embriaguez,grave,1,0,1,ninguna
02-13,jueves,17:10,-4.02471,-79.206619,rozamiento,n/n,urbana,punzara,imprudencia del conductor,leve,0,0,2,ninguna
02-21,viernes,13:50,-4.003724,-79.2074468,choque lateral angular,pio jaramillo alvarado y venezuela,urbana,punzara,imprudencia del conductor,grave,1,0,2,ninguna
02-23,domingo,11:10,-4.018913,-79.213324,choque lateral perpendicular,benjamin carrion y benito juarez,urbana,punzara,no ceder el derecho de via,leve,0,0,2,ninguna
02-27,jueves,19:34,-4.0077822,-79.2071833,atropello,argentina y brasil,urbana,punzara,imprudencia del peaton,grave,1,0,1,senalizacion vertical
03-01,domingo,04:15,-4.0071592,-79.2142781,estrellamiento,de los paltas y rusia,urbana,punzara,conducir en exceso de velocidad,leve,0,0,1,ninguna
03-02,lunes,06:20,-4.0037768,-79.2048682,choque lateral perpendicular,manuel jose aguirre y venezuela,urbana,punzara,conducir en exceso de velocidad,grave,1,0,2,senalizacion horizontal
03-04,miercoles,21:34,-4.0237734,-79.2031744,roce negativo,pio jaramillo alvarado y adam smith,urbana,punzara,conducir en exceso de velocidad,leve,0,0,2,senalizacion vertical
03-10,martes,01:35,-4.00225,-79.207619,rozamiento,pio jaramillo alvarado entre mercadillo y lourdes,urbana,punzara,imprudencia del conductor,leve,0,0,2,senalizacion vertical
03-20,viernes,14:40,-4.033333,-79.203411,estrellamiento,reinaldo espinoza,urbana,punzara,conducir en exceso de velocidad,leve,0,0,1,ninguna
03-21,sabado,15:30,-4.015349,-79.215908,estrellamiento,dinamarca y de los paltas,urbana,punzara,fallas mecanicas no previsibles,leve,0,0,1,ninguna
03-22,domingo,19:14,-3.9579782,-79.2187599,estrellamiento,8 de diciembre y beatriz cueva de ayora,urbana,punzara,conducir en estado de embriaguez,leve,0,0,2,ninguna
04-16,jueves,13:45,-4.023195,-79.206921,estrellamiento,pedro de mendoza y pedro de anzures,urbana,punzara,conducir en estado de embriaguez,leve,0,0,1,ninguna
04-16,jueves,12:20,-4.0038583,-79.2044197,choque lateral perpendicular,manuel agustin aguirre y venezuela,urbana,punzara,negligencia del conductor,grave,1,0,2,senalizacion horizontal y vertical
04-24,viernes,19:17,-4.010347,-79.210921,choque lateral perpendicular,guatemala y honduras,urbana,punzara,conducir en estado de embriaguez,leve,0,0,2,ninguna
05-28,jueves,19:39,-4.0060239,-79.2041434,estrellamiento,manuel agustin aguirre y brasil,urbana,punzara,fallas mecanicas no previsibles,leve,0,0,1,senalizacion horizontal y vertical
06-09,martes,11:58,-4.0240726,-79.2001882,estrellamiento,narcisa de jesus y santa rosa de lima,urbana,punzara,conducir en estado de embriaguez,leve,0,0,1,ninguna
06-12,viernes,18:00,-4.0271411,-79.217587,atropello,de los paltas y sin nombre,urbana,punzara,imprudencia del peaton,grave,1,0,1,senalizacion vertical
06-16,martes,23:24,-4.0200548,-79.2171907,choque por alcance,benjamin carrion y diego portales,urbana,punzara,conducir en estado de embriaguez,leve,0,0,2,senalizacion vertical
06-20,sabado,22:59,-4.0095714,-79.203739,choque lateral perpendicular,manuel agustin aguirre y chile,urbana,punzara,conducir en exceso de velocidad,grave,2,0,2,senalizacion vertical
06-24,miercoles,09:50,-4.0163603,-79.2163794,choque por alcance,de los paltas,urbana,punzara,no ceder el derecho de via,grave,1,0,2,ninguna
06-28,domingo,04:18,-4.0331053,-79.2029714,volcamiento longitudinal,reinaldo espinoza entre teodoro wolf y pio jaramillo alvarado,urbana,punzara,conducir en estado de embriaguez,grave,1,0,1,ninguna
06-29,lunes,20:14,-4.020161,-79.21701,choque lateral angular,de los paltas y manuel benjamin carrion,urbana,punzara,conducir en estado de embriaguez,grave,1,0,2,senalizacion vertical
07-02,jueves,15:00,-4.013508,-79.214973,choque lateral angular,de los paltas y bulgaria,urbana,punzara,conducir en exceso de velocidad,grave,1,0,2,senalizacion vertical
07-04,sabado,07:35,-4.007555,-79.206734,choque lateral perpendicular,espana y brasil,urbana,punzara,no respetar las senales de transito,leve,0,0,2,ninguna
07-05,domingo,11:00,-4.02085,-79.223739,choque lateral angular,benjamin carrion y ventanas,urbana,punzara,no ceder el derecho de via,grave,1,0,2,ninguna
07-06,lunes,00:40,-4.0313962,-79.2067826,atipico,eloy alfaro y condamine,urbana,punzara,imprudencia del conductor,leve,0,0,2,ninguna
07-17,viernes,19:24,-4.0074695,-79.2143987,choque frontal excentrico,de los paltas entre rusia y paraguay,urbana,punzara,imprudencia del conductor,leve,0,0,2,senalizacion horizontal
07-24,viernes,23:44,-4.0145831,-79.2368482,estrellamiento,eugenio espejo y sin nombre,urbana,punzara,conducir en estado de embriaguez,leve,0,0,1,ninguna
07-29,miercoles,15:48,-4.0185619,-79.2120293,roce negativo,manuel benjamin carrion y emiliano zapata,urbana,punzara,imprudencia del conductor,leve,0,0,2,senalizacion vertical
07-31,viernes,20:54,-4.0074102,-79.203996,estrellamiento,manuel agustin aguirre y cuba,urbana,punzara,conducir en estado de embriaguez,leve,0,0,3,senalizacion horizontal y vertical
08-03,lunes,21:24,-4.026426,-79.206736,choque frontal excentrico,tnte geovanny y cab gonzalo,urbana,punzara,conducir en estado de embriaguez,grave,1,0,2,senalizacion horizontal y vertical
08-10,lunes,08:10,-4.0133057,-79.2032772,atropello,manuel agustin aguirre y gobernacion de mainas,urbana,punzara,imprudencia del peaton,grave,1,0,1,ninguna
08-15,sabado,17:50,-4.0146143,-79.2103621,atipico,francisco santander desde jose de san martin hasta s/n,urbana,punzara,imprudencia del conductor,grave,4,0,4,senalizacion vertical
08-21,viernes,21:59,-4.0021915,-79.2074951,estrellamiento,pio jaramillo alvarado y tnte maximiliano rodriguez,urbana,punzara,conducir en exceso de velocidad,leve,0,0,1,senalizacion vertical
09-02,miercoles,19:11,-4.037549,-79.206289,estrellamiento,angel felicisimo rojas y reinaldo espinoza,urbana,punzara,conducir en exceso de velocidad,leve,0,0,1,ninguna
09-06,domingo,15:30,-4.0203127,-79.21701,choque lateral perpendicular,de los paltas y benjamin carrion,urbana,punzara,conducir en exceso de velocidad,grave,1,0,2,senalizacion vertical
09-07,lunes,06:45,-4.0205279,-79.2171926,choque lateral angular,benjamin carrion y de los paltas,urbana,punzara,no ceder el derecho de via,grave,1,0,2,ninguna
09-11,viernes,19:24,-4.006191,-79.205647,choque lateral angular,pio jaramillo alvarado entre brasil y jose picoita,urbana,punzara,conducir en exceso de velocidad,grave,1,0,2,ninguna
09-22,martes,02:28,-4.0106262,-79.2154906,estrellamiento,de los paltas y estados unidos,urbana,punzara,conducir en exceso de velocidad,leve,0,0,1,senalizacion vertical
09-23,miercoles,14:05,-4.020204,-79.215448,estrellamiento,manuel benjamin carrion entre diego portales y dolores virginia,urbana,punzara,conducir en estado de embriaguez,leve,0,0,2,ninguna
09-28,lunes,15:45,-4.0172909,-79.2180871,estrellamiento,juan cueva serrano y matias delgado,urbana,punzara,imprudencia del peaton,leve,0,0,1,ninguna
09-30,miercoles,12:40,-4.0112098,-79.2165073,choque lateral angular,alemania y suiza,urbana,punzara,conducir en estado de embriaguez,leve,0,0,2,ninguna
10-03,sabado,11:00,-4.0161317,-79.2085265,choque lateral angular,benjamin carrion y miguel morelos,urbana,punzara,no ceder el derecho de via,leve,0,0,2,ninguna
10-03,sabado,09:50,-4.0128022,-79.2038368,atropello,manuel zambrano y gobernacion de mainas,urbana,punzara,imprudencia del peaton,grave,1,0,1,senalizacion horizontal
10-09,viernes,21:47,-4.015771,-79.234938,choque lateral angular,eugenio espejo,urbana,punzara,imprudencia del conductor,grave,1,0,2,ninguna
10-09,viernes,03:50,-4.0328135,-79.1996191,choque frontal,reinaldo espinosa y eduardo kingman,urbana,punzara,imprudencia del conductor,grave,1,0,1,ninguna
10-10,sabado,10:45,-4.0247291,-79.2061086,choque lateral perpendicular,heroes del cenepa y jose robles carrion,urbana,punzara,imprudencia del conductor,grave,1,0,2,senalizacion vertical
10-17,sabado,12:05,-4.0330867,-79.2095347,choque lateral angular,condamine y s/n,urbana,punzara,imprudencia del conductor,grave,1,0,2,ninguna
10-18,domingo,21:34,-4.0028258,-79.2080254,estrellamiento,panama y tnte maximiliano rodriguez,urbana,punzara,conducir en estado de embriaguez,grave,1,0,1,ninguna
10-26,lunes,07:35,-4.0129,-79.2043,perdida de carril,pio jaramillo alvarado y gobernacion de mainas,urbana,punzara,conducir en estado de embriaguez,grave,2,0,1,ninguna
11-01,domingo,15:30,-4.018808,-79.2131536,choque frontal excentrico,benito juarez y benjamin carrion,urbana,punzara,imprudencia del conductor,grave,1,0,2,ninguna
11-03,martes,08:55,-4.0038022,-79.2064428,choque lateral perpendicular,jose maria pena y venezuela,urbana,punzara,no respetar las senales de transito,leve,0,0,2,senalizacion vertical
11-05,jueves,21:44,-4.0231681,-79.2033827,estrellamiento,pio jaramillo alvarado y jose maria vivar castro,urbana,punzara,conducir en exceso de velocidad,leve,0,0,2,ninguna
