fecha,hora,latitud,longitud,tipologia,direccion,zona,parroquia_urbana,causas,gravedad,nro_heridos,nro_fallecidos,vehiculos_retenidos,senalizacion_existente,condicion_calzada,condicion_atmosferica
01-01,11:40,-3.991993,-79.2011551,estrellamiento,orillas del zamora y jose felix de valdivieso,urbana,el valle,conducir en estado de embriaguez,grave,1.0,0.0,3.0,senalizacion horizontal y vertical,bueno,lluvia
01-01,16:40,-3.996793,-79.291863,choque lateral angular,s/n,rural,n/n,conducir en estado de embriaguez,grave,1.0,0.0,4.0,senalizacion horizontal y vertical,regular,lluvia
01-05,17:50,-4.0203701,-79.2179617,choque lateral perpendicular,benjamin carrion y gustavo serrano,urbana,punzara,conducir en estado de embriaguez,grave,1.0,0.0,2.0,senalizacion vertical,bueno,lluvia
01-05,12:00,-3.98723,-79.202984,choque por alcance,nueva loja y guaranda,urbana,sucre,no mantener la distancia reglamentaria,leve,0.0,0.0,2.0,senalizacion vertical,regular,lluvia
01-08,10:10,-3.98941,-79.236506,atropello,angel felicisimo rojas,urbana,sucre,imprudencia del peaton,grave,1.0,0.0,1.0,senalizacion vertical,regular,despejado
01-09,06:05,-3.9797842,-79.2186893,choque lateral angular,isidro ayora y habana,urbana,sucre,conducir en estado de embriaguez,leve,0.0,0.0,2.0,senalizacion horizontal y vertical,bueno,lluvia
01-10,10:25,-3.9773054,-79.2270444,choque por alcance,isidro ayora y sin nombre,urbana,sucre,no mantener la distancia reglamentaria,leve,0.0,0.0,2.0,senalizacion horizontal y vertical,regular,lluvia
01-10,15:50,-4.014853,-79.2018759,estrellamiento,crisantemos y anturios,urbana,san sebastian,conducir en exceso de velocidad,grave,1.0,0.0,1.0,senalizacion horizontal,bueno,despejado
01-10,22:34,-3.9945775,-79.2101457,estrellamiento,manuel carrion pinzano y manuel palacios,urbana,sucre,conducir en exceso de velocidad,leve,0.0,0.0,1.0,senalizacion vertical,regular,lluvia
01-11,02:15,-4.0120532,-79.2011581,estrellamiento,eduardo kingman y catamayo,urbana,san sebastian,conducir en exceso de velocidad,grave,1.0,0.0,2.0,senalizacion vertical,bueno,nublado
01-12,14:20,-4.001446,-79.2061533,choque lateral perpendicular,mercadillo y ramon pinto,urbana,san sebastian,no respetar las senales de transito,leve,0.0,0.0,2.0,senalizacion horizontal y vertical,bueno,lluvia
01-14,23:02,-4.0184094,-79.2301538,estrellamiento,angel felicisimo rojas,urbana,sucre,conducir en exceso de velocidad,grave,1.0,0.0,1.0,senalizacion horizontal,regular,despejado
01-15,17:10,-4.2496716,-79.2470867,estrellamiento,s/n,rural,n/n,conducir en exceso de velocidad,leve,0.0,0.0,1.0,senalizacion horizontal y vertical,bueno,lluvia
01-15,17:05,-3.984322,-79.2191052,choque lateral angular,bello horizonte y charity,urbana,sucre,condiciones climaticas desfavorables,leve,0.0,0.0,2.0,ninguna,malo,lluvia
01-16,20:34,-4.016394,-79.248385,choque lateral angular,via antigua a catamayo,urbana,sucre,conducir en estado de embriaguez,leve,0.0,0.0,2.0,senalizacion vertical,bueno,despejado
01-17,04:27,-3.96983,-79.208039,choque lateral angular,8 de diciembre y jaime roldos aguilera,urbana,carigan,no respetar las senales de transito,leve,0.0,0.0,2.0,senalizacion vertical,bueno,lluvia
01-18,16:12,-3.980269,-79.207106,roce negativo,manuel carrion pinzano y jaen,urbana,sucre,conducir en exceso de velocidad,grave,5.0,0.0,3.0,senalizacion vertical,bueno,despejado
01-22,18:03,-3.9831115,-79.2032879,choque lateral angular,santo domingo y riobamba,urbana,sucre,no ceder el derecho de via,leve,0.0,0.0,2.0,senalizacion horizontal,bueno,lluvia
01-22,16:00,-3.9792207,-79.2078226,estrellamiento,manuel carrion pinzano y piura,urbana,sucre,conducir en exceso de velocidad,leve,0.0,0.0,1.0,ninguna,bueno,lluvia
01-23,00:45,-3.9921287,-79.2009774,choque lateral perpendicular,orillas del zamora y clodoveo carrion,urbana,el sagrario,impericia del conductor,leve,0.0,0.0,2.0,ninguna,bueno,lluvia
01-24,04:37,-3.948651,-79.222292,estrellamiento,8 de diciembre y eduardo palacios,urbana,carigan,imprudencia del conductor,grave,1.0,0.0,1.0,senalizacion vertical,bueno,lluvia
01-24,06:25,-4.009527,-79.204733,choque lateral perpendicular,pio jaramillo alvarado y chile,urbana,punzara,conducir en estado de embriaguez,grave,2.0,0.0,2.0,senalizacion vertical,bueno,lluvia
01-24,04:45,-3.98515363,-79.2015062,choque lateral perpendicular,salvador bustamante celi y guayaquil,urbana,el valle,no ceder el derecho de via,leve,0.0,0.0,2.0,senalizacion horizontal,bueno,lluvia
01-23,18:15,-4.1418098,-79.2043314,choque frontal longitudinal,loja malacatos y rumizhitana,rural,n/n,conducir en estado de embriaguez,grave,2.0,0.0,2.0,ninguna,bueno,lluvia
01-24,18:20,-4.160441,-79.2096751,encunetamiento,exodo de yangana,rural,n/n,imprudencia del conductor,leve,0.0,0.0,1.0,senalizacion horizontal y vertical,bueno,despejado
01-24,22:54,-4.0206395,-79.2165238,choque por alcance,benjamin carrion y cornelio,urbana,punzara,impericia del conductor,grave,1.0,0.0,1.0,senalizacion horizontal,bueno,lluvia
01-27,03:15,-4.0207656,-79.2033991,perdida de carril,pio jaramillo alvarado y nicolas copernico,urbana,punzara,conducir en estado de embriaguez,grave,3.0,0.0,1.0,senalizacion vertical,bueno,despejado
01-30,21:44,-3.947943,-79.218568,estrellamiento,salvador bustamante celi,urbana,el valle,conducir en exceso de velocidad,leve,0.0,0.0,2.0,senalizacion horizontal,bueno,despejado
01-30,19:39,-4.222009,-79.266257,perdida de carril,via malacatos el tambo,rural,n/n,conducir en exceso de velocidad,leve,0.0,0.0,1.0,senalizacion vertical,bueno,despejado
01-31,07:40,-4.0116894,-79.2010805,choque lateral angular,eduardo kingman y catamayo,urbana,san sebastian,imprudencia del conductor,grave,1.0,0.0,3.0,senalizacion horizontal,bueno,lluvia
01-31,23:54,-4.262073,-79.223999,estrellamiento,eterna juventud y juan montalvo,rural,n/n,conducir en estado de embriaguez,leve,0.0,0.0,1.0,senalizacion vertical,bueno,despejado
02-02,00:24,-4.0095907,-79.2037604,estrellamiento,manuel agustin aguirre y chile,rural,n/n,conducir en exceso de velocidad,leve,0.0,0.0,1.0,senalizacion horizontal,bueno,despejado
02-01,23:54,-3.7907679,-79.2838265,choque lateral angular,via santiago - san lucas,rural,n/n,conducir en estado de embriaguez,leve,0.0,0.0,2.0,senalizacion vertical,bueno,lluvia
02-02,06:45,-3.992263,-79.201591,choque lateral perpendicular,s/n,urbana,el sagrario,conducir en exceso de velocidad,leve,0.0,0.0,2.0,senalizacion horizontal y vertical,seca,cubierto
02-03,21:59,-3.9946094,-79.2052764,choque lateral perpendicular,s/n,urbana,el sagrario,conducir en exceso de velocidad,grave,1.0,0.0,2.0,senalizacion horizontal y vertical,seca,semicubierto
02-03,15:12,-3.9991858,-79.2000139,choque lateral perpendicular,s/n,urbana,el sagrario,imprudencia del conductor,grave,1.0,0.0,1.0,senalizacion horizontal y vertical,seca,despejado
02-07,05:30,-4.1693079,-79.214099,estrellamiento,s/n,rural,n/n,conducir en exceso de velocidad,leve,0.0,0.0,1.0,ninguna,seca,cubierto
02-06,04:50,-4.002227,-79.197613,choque lateral perpendicular,s/n,urbana,el sagrario,conducir en estado de embriaguez,leve,0.0,0.0,2.0,senalizacion horizontal y vertical,seca,semicubierto
02-04,16:20,-4.007105,-79.226851,perdida de pista,s/n,urbana,sucre,fallas mecanicas no previsibles,grave,2.0,0.0,1.0,ninguna,seca,semicubierto
02-07,11:10,-4.0178459,-79.2473846,choque lateral angular,s/n,rural,n/n,imprudencia del conductor,grave,1.0,0.0,2.0,senalizacion vertical,seca,despejado
02-08,13:42,-4.0075031,-79.2037201,choque lateral perpendicular,s/n,urbana,san sebastian,imprudencia del conductor,grave,2.0,0.0,2.0,senalizacion horizontal y vertical,seca,despejado
02-08,22:46,-4.002547,-79.2045993,choque lateral perpendicular,s/n,urbana,san sebastian,conducir en estado de embriaguez,leve,0.0,0.0,2.0,ninguna,seca,semicubierto
02-09,05:55,-4.0074747,-79.2024154,choque lateral perpendicular,s/n,urbana,san sebastian,imprudencia del conductor,leve,0.0,0.0,2.0,senalizacion horizontal y vertical,seca,semicubierto
02-09,19:44,-3.977873,-79.20784,choque lateral angular,panamericana y manuel carrion pinzano,urbana,sucre,imprudencia del conductor,leve,0.0,0.0,2.0,senalizacion horizontal y vertical,mojada,cubierto
02-15,21:09,-4.0264313,-79.2031015,estrellamiento,s/n,urbana,punzara,conducir en estado de embriaguez,grave,1.0,0.0,3.0,ninguna,seca,cubierto
02-14,20:14,-4.1292209,-79.207044,choque lateral angular,s/n,rural,n/n,conducir en estado de embriaguez,leve,0.0,0.0,2.0,senalizacion vertical,seca,cubierto
02-14,12:20,-4.220238,-79.2439331,estrellamiento,s/n,rural,n/n,imprudencia del conductor,leve,0.0,0.0,1.0,ninguna,seca,despejado
02-14,16:30,-4.007822,-79.209522,estrellamiento,s/n,urbana,punzara,conducir en estado de embriaguez,grave,2.0,0.0,2.0,ninguna,seca,semicubierto
02-12,01:40,-3.9653381,-79.2128642,choque frontal excentrico,8 de diciembre,urbana,carigan,imprudencia del conductor,grave,0.0,1.0,2.0,senalizacion horizontal y vertical,seca,semicubierto
02-18,22:34,-3.9841349,-79.2022212,estrellamiento,s/n,urbana,el valle,conducir en exceso de velocidad,leve,0.0,0.0,1.0,senalizacion horizontal y vertical,seca,despejado
02-21,04:23,-3.9884166,-79.2053498,estrellamiento,s/n,urbana,sucre,conducir en exceso de velocidad,leve,0.0,0.0,1.0,senalizacion horizontal y vertical,seca,despejado
02-20,16:25,-3.9775837,-79.2367202,estrellamiento,s/n,urbana,carigan,imprudencia del conductor,grave,1.0,0.0,2.0,ninguna,seca,despejado
02-19,06:43,-3.9796314,-79.2158471,choque lateral angular,s/n,urbana,sucre,imprudencia del conductor,grave,1.0,0.0,2.0,ninguna,seca,despejado
02-24,10:18,-3.977189,-79.198919,perdida de carril,s/n,urbana,el valle,condiciones climaticas desfavorables,grave,1.0,0.0,1.0,ninguna,mojada,semicubierto
02-24,19:34,-3.988345,-79.212479,perdida de pista,s/n,urbana,sucre,conducir en estado de embriaguez,leve,0.0,0.0,1.0,ninguna,seca,semicubierto
02-26,01:35,-3.9479556,-79.2199444,estrellamiento,s/n,urbana,el valle,imprudencia del conductor,leve,0.0,0.0,3.0,ninguna,mojada,cubierto
02-28,02:10,-4.00322,-79.13463,estrellamiento,s/n,urbana,sucre,conducir en estado de embriaguez,grave,1.0,0.0,1.0,ninguna,seca,despejado
02-28,02:30,-3.992591,-79.2203469,estrellamiento,s/n,urbana,el sagrario,conducir en exceso de velocidad,leve,0.0,0.0,1.0,ninguna,seca,cubierto
02-28,14:05,-3.7457372,-79.2683758,atropello,s/n,rural,n/n,imprudencia del peaton,grave,1.0,0.0,1.0,ninguna,seca,cubierto
02-28,20:14,-4.0059787,-79.201395,choque lateral angular,s/n,urbana,san sebastian,conducir en estado de embriaguez,grave,1.0,0.0,2.0,ninguna,seca,cubierto
02-28,21:44,-3.9430879,-79.2540836,atropello,zalapa,rural,n/n,imprudencia del peaton,grave,0.0,1.0,1.0,ninguna,mojada,cubierto
03-04,11:00,-4.0037605,-79.2035034,choque lateral perpendicular,s/n,urbana,san sebastian,no respetar las senales de transito,leve,0.0,0.0,2.0,senalizacion vertical,seca,despejado
03-06,17:00,-3.9933884,-79.2104675,perdida de pista,s/n,urbana,sucre,conducir en exceso de velocidad,leve,0.0,0.0,1.0,ninguna,seca,despejado
03-04,22:13,-4.2606098,-79.2223169,estrellamiento,s/n,rural,n/n,conducir en estado de embriaguez,leve,0.0,0.0,1.0,senalizacion vertical,mojada,cubierto
03-07,01:35,-4.0146279,-79.2075103,roce negativo,s/n,urbana,punzara,conducir en estado de embriaguez,leve,0.0,0.0,2.0,ninguna,seca,cubierto
03-07,04:13,-3.9997362,-79.2069142,estrellamiento,s/n,urbana,sucre,conducir en estado de embriaguez,leve,0.0,0.0,1.0,ninguna,mojada,cubierto
03-10,14:15,-3.970041,-79.208338,choque lateral perpendicular,s/n,urbana,carigan,imprudencia del conductor,leve,0.0,0.0,2.0,ninguna,seca,cubierto
03-10,21:54,-3.9662402,-79.212084,choque lateral angular,8 de diciembre,urbana,carigan,conducir en estado de embriaguez,leve,0.0,0.0,2.0,ninguna,mojada,cubierto
03-14,04:55,-3.957947,-79.274884,perdida de carril,s/n,rural,n/n,conducir en exceso de velocidad,grave,1.0,0.0,1.0,ninguna,mojada,cubierto
03-16,21:59,-3.9941501,-79.2116608,estrellamiento,s/n,urbana,sucre,imprudencia del conductor,leve,0.0,0.0,2.0,ninguna,seca,semicubierto
03-21,21:19,-3.976024,-79.227284,perdida de carril,s/n,urbana,sucre,fallas mecanicas no previsibles,grave,6.0,0.0,1.0,ninguna,seca,semicubierto
03-22,07:28,-3.9534859,-79.2481544,choque por alcance,s/n,urbana,carigan,imprudencia del conductor,leve,0.0,0.0,2.0,ninguna,seca,despejado
03-22,20:09,-3.9641724,-79.2135206,estrellamiento,8 de diciembre,urbana,carigan,conducir en exceso de velocidad,leve,0.0,0.0,2.0,ninguna,seca,semicubierto
03-23,07:34,-4.0074012,-79.2032154,choque lateral perpendicular,s/n,urbana,san sebastian,imprudencia del conductor,leve,0.0,0.0,2.0,ninguna,seca,semicubierto
03-23,15:00,-4.213109,-79.2531,choque frontal excentrico,s/n,rural,n/n,imprudencia del conductor,leve,0.0,0.0,2.0,ninguna,seca,cubierto
03-28,10:00,-3.9906506,-79.2051288,choque lateral perpendicular,s/n,urbana,sucre,no respetar las senales de transito,leve,0.0,0.0,2.0,ninguna,seca,semicubierto
03-28,03:06,-4.3189961,-79.235891,estrellamiento,s/n,rural,n/n,conducir en estado de embriaguez,grave,1.0,0.0,2.0,ninguna,seca,despejado
03-27,23:00,-4.2063182,-79.2251467,perdida de carril,s/n,rural,n/n,conducir en exceso de velocidad,grave,0.0,1.0,1.0,ninguna,seca,despejado
03-27,14:10,-4.0005688,-79.2130698,choque lateral perpendicular,s/n,urbana,sucre,conducir en exceso de velocidad,grave,1.0,0.0,2.0,ninguna,seca,cubierto
03-26,15:22,-4.0001985,-79.1988727,choque lateral perpendicular,s/n,urbana,el sagrario,imprudencia del conductor,leve,0.0,0.0,2.0,ninguna,seca,semicubierto
03-31,22:44,-3.985761,-79.169591,choque por alcance,s/n,rural,n/n,conducir en estado de embriaguez,leve,0.0,0.0,2.0,ninguna,mojada,cubierto
03-31,12:00,-3.9982763,-79.2050904,atropello,s/n,urbana,el sagrario,imprudencia del conductor,grave,1.0,0.0,1.0,ninguna,seca,semicubierto
04-03,19:54,-3.995984,-79.199221,choque lateral perpendicular,s/n,urbana,el sagrario,conducir en estado de embriaguez,grave,1.0,0.0,2.0,ninguna,seca,cubierto
04-03,12:20,-4.000006,-79.196206,choque lateral perpendicular,s/n,urbana,el sagrario,imprudencia del conductor,grave,1.0,0.0,1.0,ninguna,seca,semicubierto
04-08,20:39,-4.00247,-79.22744,estrellamiento,s/n,urbana,sucre,conducir en estado de embriaguez,grave,1.0,0.0,1.0,ninguna,seca,semicubierto
04-08,21:19,-3.9590419,-79.2659054,choque por alcance,s/n,rural,n/n,imprudencia del conductor,grave,2.0,0.0,2.0,ninguna,seca,despejado
04-10,18:30,-4.0280538,-79.2028097,choque lateral angular,s/n,urbana,san sebastian,conducir en exceso de velocidad,grave,2.0,0.0,2.0,ninguna,seca,cubierto
04-09,23:04,-3.9897975,-79.2118438,estrellamiento,s/n,urbana,sucre,conducir en exceso de velocidad,leve,0.0,0.0,1.0,ninguna,seca,semicubierto
04-12,05:50,-4.0023199,-79.1997609,choque lateral perpendicular,s/n,urbana,san sebastian,imprudencia del conductor,grave,2.0,0.0,2.0,ninguna,mojada,cubierto
04-14,08:36,-3.9770813,-79.2051143,colision,s/n,urbana,sucre,fallas mecanicas no previsibles,leve,0.0,0.0,2.0,ninguna,seca,cubierto
04-14,16:55,-3.960301,-79.216187,choque lateral angular,8 de diciembre,urbana,carigan,imprudencia del conductor,leve,0.0,0.0,2.0,ninguna,seca,cubierto
04-15,22:19,-3.984992,-79.2024673,choque lateral angular,s/n,urbana,sucre,conducir en estado de embriaguez,grave,1.0,0.0,2.0,ninguna,seca,semicubierto
04-16,12:07,-4.0141256,-79.204197,choque lateral perpendicular,s/n,urbana,punzara,imprudencia del conductor,grave,1.0,0.0,2.0,senalizacion vertical,seca,despejado
04-17,17:55,-4.0140319,-79.2151377,colision,s/n,urbana,punzara,conducir en estado de embriaguez,leve,0.0,0.0,3.0,ninguna,seca,semicubierto
04-19,21:44,-3.9581101,-79.2184525,estrellamiento,8 de diciembre,urbana,carigan,imprudencia del conductor,grave,1.0,0.0,1.0,ninguna,seca,despejado
04-23,13:20,-3.9771378,-79.2058027,colision,s/n,urbana,sucre,conducir en estado de embriaguez,leve,0.0,0.0,3.0,ninguna,seca,despejado
04-28,16:50,-4.0056507,-79.2025327,choque lateral angular,s/n,urbana,san sebastian,imprudencia del conductor,leve,0.0,0.0,2.0,ninguna,seca,despejado
05-01,01:35,-4.0026457,-79.1948066,perdida de carril,s/n,urbana,san sebastian,conducir en estado de embriaguez,leve,0.0,0.0,1.0,senalizacion vertical,seca,cubierto
04-30,13:45,-3.9939607,-79.2003909,choque lateral perpendicular,s/n,urbana,el sagrario,imprudencia del conductor,grave,2.0,0.0,2.0,senalizacion vertical,seca,cubierto
04-29,14:25,-4.001524,-79.208848,choque frontal excentrico,s/n,urbana,sucre,imprudencia del conductor,leve,0.0,0.0,2.0,senalizacion vertical,seca,semicubierto
04-29,06:30,-3.918629,-79.78382,choque por alcance,s/n,rural,n/n,fallas mecanicas no previsibles,grave,1.0,0.0,2.0,ninguna,seca,cubierto
05-03,06:00,-3.9842117,-79.1979083,choque lateral angular,s/n,urbana,el valle,conducir en exceso de velocidad,grave,3.0,0.0,2.0,ninguna,seca,cubierto
05-04,13:35,-3.9995496,-7.92057547E8,choque lateral perpendicular,s/n,urbana,el sagrario,conducir en exceso de velocidad,leve,0.0,0.0,2.0,senalizacion vertical,seca,despejado
