dia,hora,tipologia,parroquia_urbana,causas,nro_heridos,nro_fallecidos
lunes_martes_miercoles,h12_h15,atropello,punzara,imprudencia del peaton,1h,0fa
jueves_viernes,h20_h23,atropello,sucre,negligencia del conductor,1h,0fa
jueves_viernes,h16_h19,choque,san sebastian,condiciones climaticas desfavorables,1h,0fa
jueves_viernes,h20_h23,estrellamiento,carigan,fallas mecanicas no previsibles,0h,0fa
sabado_domingo,h16_h19,choque,el sagrario,imprudencia del conductor,0h,0fa
sabado_domingo,h20_h23,estrellamiento,san sebastian,imprudencia del conductor,0h,0fa
sabado_domingo,h20_h23,estrellamiento,sucre,imprudencia del conductor,0h,0fa
sabado_domingo,h00_h03,choque,sucre,conducir en estado de embriaguez,1h,0fa
lunes_martes_miercoles,h16_h19,atropello,sucre,conducir en estado de embriaguez,0h,0fa
lunes_martes_miercoles,h20_h23,choque,el sagrario,condiciones climaticas desfavorables,1h,0fa
lunes_martes_miercoles,h12_h15,choque,sucre,no ceder el derecho de via,0h,0fa
lunes_martes_miercoles,h12_h15,roce,punzara,cambio brusco e indebido de carril,0h,0fa
lunes_martes_miercoles,h00_h03,estrellamiento,el sagrario,no mantener la distancia reglamentaria,0h,0fa
jueves_viernes,h16_h19,colision,sucre,negligencia del conductor,0h,0fa
jueves_viernes,h16_h19,atropello,el valle,imprudencia del peaton,1h,0fa
jueves_viernes,h00_h03,estrellamiento,el valle,imprudencia del conductor,0h,0fa
sabado_domingo,h08_h11,choque,san sebastian,conducir en estado de embriaguez,1h,0fa
sabado_domingo,h04_h07,estrellamiento,el valle,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h00_h03,choque,punzara,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h12_h15,atropello,san sebastian,imprudencia del peaton,1h,0fa
sabado_domingo,h20_h23,choque,el sagrario,imprudencia del conductor,0h,0fa
lunes_martes_miercoles,h00_h03,roce,san sebastian,imprudencia del conductor,0h,0fa
lunes_martes_miercoles,h12_h15,choque,punzara,cambio brusco e indebido de carril,0h,0fa
lunes_martes_miercoles,h12_h15,estrellamiento,carigan,imprudencia del conductor,0h,0fa
lunes_martes_miercoles,h04_h07,choque,carigan,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h08_h11,choque,el sagrario,negligencia del conductor,0h,0fa
sabado_domingo,h08_h11,estrellamiento,sucre,negligencia del conductor,0h,0fa
sabado_domingo,h08_h11,choque,sucre,imprudencia del conductor,1h,0fa
sabado_domingo,h12_h15,choque,el sagrario,negligencia del conductor,1h,0fa
sabado_domingo,h00_h03,choque,sucre,conducir en estado de embriaguez,0h,0fa
lunes_martes_miercoles,h12_h15,roce,sucre,negligencia del conductor,1h,0fa
lunes_martes_miercoles,h16_h19,estrellamiento,carigan,fallas mecanicas no previsibles,0h,0fa
lunes_martes_miercoles,h04_h07,perdida de carril_pista,san sebastian,negligencia del conductor,0h,0fa
lunes_martes_miercoles,h12_h15,roce,carigan,negligencia del conductor,0h,0fa
jueves_viernes,h12_h15,choque,el sagrario,no mantener la distancia reglamentaria,0h,0fa
jueves_viernes,h04_h07,estrellamiento,san sebastian,conducir en estado de embriaguez,0h,0fa
jueves_viernes,h12_h15,roce,el sagrario,imprudencia del conductor,0h,0fa
jueves_viernes,h00_h03,choque,el valle,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h00_h03,choque,el sagrario,imprudencia del conductor,1h,0fa
sabado_domingo,h00_h03,choque,sucre,imprudencia del conductor,0h,0fa
lunes_martes_miercoles,h20_h23,atropello,el sagrario,imprudencia del peaton,1h,0fa
lunes_martes_miercoles,h12_h15,estrellamiento,san sebastian,imprudencia del conductor,0h,0fa
jueves_viernes,h00_h03,estrellamiento,carigan,imprudencia del conductor,0h,0fa
jueves_viernes,h04_h07,choque,el sagrario,imprudencia del conductor,1h,0fa
jueves_viernes,h00_h03,estrellamiento,san sebastian,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h08_h11,roce,punzara,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h16_h19,choque,el sagrario,imprudencia del conductor,0h,0fa
lunes_martes_miercoles,h12_h15,choque,el sagrario,inobservancia de leyes de transito,0h,0fa
lunes_martes_miercoles,h08_h11,choque,el sagrario,no respetar las senales de transito,3h,0fa
jueves_viernes,h08_h11,estrellamiento,punzara,imprudencia del conductor,0h,0fa
jueves_viernes,h00_h03,choque,el sagrario,imprudencia del conductor,0h,0fa
jueves_viernes,h04_h07,perdida de carril_pista,el sagrario,imprudencia del conductor,1h,0fa
jueves_viernes,h08_h11,roce,san sebastian,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h12_h15,caida de pasajero,el sagrario,inobservancia de leyes de transito,1h,0fa
sabado_domingo,h00_h03,choque,sucre,no respetar las senales de transito,1h,0fa
sabado_domingo,h04_h07,choque,el sagrario,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h16_h19,roce,el sagrario,inobservancia de leyes de transito,0h,0fa
sabado_domingo,h08_h11,estrellamiento,punzara,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h20_h23,roce,sucre,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h12_h15,choque,el valle,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h08_h11,estrellamiento,el sagrario,conducir en estado de embriaguez,0h,0fa
lunes_martes_miercoles,h12_h15,choque,el sagrario,imprudencia del conductor,0h,0fa
lunes_martes_miercoles,h16_h19,choque,el sagrario,imprudencia del conductor,0h,0fa
jueves_viernes,h04_h07,estrellamiento,el valle,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h04_h07,choque,el valle,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h00_h03,estrellamiento,sucre,fallas mecanicas no previsibles,0h,0fa
sabado_domingo,h04_h07,choque,el sagrario,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h00_h03,estrellamiento,sucre,imprudencia del conductor,0h,0fa
lunes_martes_miercoles,h00_h03,estrellamiento,el valle,conducir en estado de embriaguez,0h,0fa
lunes_martes_miercoles,h20_h23,choque,sucre,imprudencia del conductor,0h,0fa
lunes_martes_miercoles,h16_h19,choque,sucre,imprudencia del conductor,1h,0fa
jueves_viernes,h08_h11,estrellamiento,sucre,imprudencia del conductor,0h,0fa
jueves_viernes,h08_h11,choque,el sagrario,imprudencia del conductor,1h,0fa
jueves_viernes,h12_h15,choque,sucre,imprudencia del conductor,0h,0fa
sabado_domingo,h08_h11,choque,el sagrario,imprudencia del conductor,0h,0fa
sabado_domingo,h16_h19,choque,sucre,imprudencia del conductor,0h,0fa
sabado_domingo,h20_h23,choque,sucre,imprudencia del conductor,0h,0fa
sabado_domingo,h04_h07,choque,sucre,imprudencia del conductor,1h,0fa
lunes_martes_miercoles,h20_h23,atropello,el valle,imprudencia del peaton,1h,0fa
lunes_martes_miercoles,h12_h15,perdida de carril_pista,sucre,imprudencia del conductor,0h,0fa
lunes_martes_miercoles,h16_h19,choque,san sebastian,imprudencia del conductor,0h,0fa
lunes_martes_miercoles,h16_h19,colision,sucre,imprudencia del conductor,0h,0fa
lunes_martes_miercoles,h16_h19,choque,sucre,imprudencia del conductor,0h,0fa
lunes_martes_miercoles,h00_h03,choque,sucre,imprudencia del conductor,0h,0fa
lunes_martes_miercoles,h00_h03,estrellamiento,el sagrario,conducir en estado de embriaguez,0h,0fa
jueves_viernes,h12_h15,choque,sucre,imprudencia del conductor,0h,0fa
jueves_viernes,h12_h15,choque,el sagrario,imprudencia del conductor,0h,0fa
jueves_viernes,h00_h03,choque,el sagrario,imprudencia del conductor,2h,0fa
jueves_viernes,h16_h19,atropello,sucre,imprudencia del peaton,1h,0fa
jueves_viernes,h20_h23,choque,carigan,cambio brusco e indebido de carril,0h,0fa
sabado_domingo,h04_h07,roce,sucre,imprudencia del conductor,1h,0fa
sabado_domingo,h12_h15,choque,el sagrario,imprudencia del conductor,0h,0fa
lunes_martes_miercoles,h04_h07,estrellamiento,sucre,imprudencia del conductor,0h,0fa
lunes_martes_miercoles,h12_h15,roce,punzara,imprudencia del conductor,0h,0fa
lunes_martes_miercoles,h12_h15,choque,el sagrario,imprudencia del conductor,0h,0fa
lunes_martes_miercoles,h20_h23,choque,sucre,fallas mecanicas no previsibles,1h,0fa
jueves_viernes,h12_h15,colision,el sagrario,imprudencia del conductor,0h,0fa
jueves_viernes,h20_h23,estrellamiento,san sebastian,imprudencia del conductor,0h,0fa
jueves_viernes,h20_h23,choque,punzara,imprudencia del conductor,2h,0fa
jueves_viernes,h08_h11,estrellamiento,el sagrario,negligencia del conductor,0h,0fa
jueves_viernes,h16_h19,estrellamiento,punzara,conducir en estado de embriaguez,0h,0fa
