@relation AT2018_2019_2020_NBD_caso1_predicted

@attribute dia {miercoles,jueves,viernes,sabado,domingo,lunes,martes}
@attribute hora {h13,h20,h18,h21,h19,h02,h17,h12,h03,h16,h01,h08,h05,h14,h23,h07,h10,h15,h00,h11,h09,h22,h06,h04}
@attribute tipologia {atropello,'choque lateral perpendicular',estrellamiento,'choque frontal longitudinal','choque lateral angular','roce negativo',colision,'choque por alcance','roce positivo','perdida de carril','choque frontal excentrico','caida de pasajero','perdida de pista',atipico,encunetamiento,arrollamiento,rozamiento,'volcamiento lateral','volcamiento longitudinal',volcamiento,'choque frontal'}
@attribute parroquia_urbana {punzara,sucre,'san sebastian',carigan,'el sagrario','el valle'}
@attribute 'prediction margin' numeric
@attribute 'predicted causas' {'imprudencia del peaton','negligencia del conductor','condiciones climaticas desfavorables','fallas mecanicas no previsibles','imprudencia del conductor','conducir en estado de embriaguez','no ceder el derecho de via','cambio brusco e indebido de carril','no mantener la distancia reglamentaria','inobservancia de leyes de transito','no respetar las senales de transito','conducir en exceso de velocidad','invadir carril de circulacion','razones desconocidas','no respetar las ordenes del agente de transito','impericia del conductor'}
@attribute causas {'imprudencia del peaton','negligencia del conductor','condiciones climaticas desfavorables','fallas mecanicas no previsibles','imprudencia del conductor','conducir en estado de embriaguez','no ceder el derecho de via','cambio brusco e indebido de carril','no mantener la distancia reglamentaria','inobservancia de leyes de transito','no respetar las senales de transito','conducir en exceso de velocidad','invadir carril de circulacion','razones desconocidas','no respetar las ordenes del agente de transito','impericia del conductor'}
@attribute nro_heridos {1h,0h,3h,2h,4h,5h,6h}
@attribute nro_fallecidos {0fa,1fa}

@data
viernes,h11,estrellamiento,'el valle',-0.122881,'conducir en exceso de velocidad','conducir en estado de embriaguez',1h,0fa
martes,h17,'choque lateral perpendicular',punzara,-0.5,'imprudencia del conductor','conducir en estado de embriaguez',1h,0fa
martes,h12,'choque por alcance',sucre,0.208955,'no mantener la distancia reglamentaria','no mantener la distancia reglamentaria',0h,0fa
viernes,h10,atropello,sucre,0.407407,'imprudencia del peaton','imprudencia del peaton',1h,0fa
sabado,h06,'choque lateral angular',sucre,-0.5,'imprudencia del conductor','conducir en estado de embriaguez',0h,0fa
domingo,h10,'choque por alcance',sucre,0.208955,'no mantener la distancia reglamentaria','no mantener la distancia reglamentaria',0h,0fa
domingo,h15,estrellamiento,'san sebastian',0.122881,'conducir en exceso de velocidad','conducir en exceso de velocidad',1h,0fa
domingo,h22,estrellamiento,sucre,0.122881,'conducir en exceso de velocidad','conducir en exceso de velocidad',0h,0fa
lunes,h02,estrellamiento,'san sebastian',0.122881,'conducir en exceso de velocidad','conducir en exceso de velocidad',1h,0fa
martes,h14,'choque lateral perpendicular','san sebastian',-0.266667,'no ceder el derecho de via','no respetar las senales de transito',0h,0fa
jueves,h23,estrellamiento,sucre,0.122881,'conducir en exceso de velocidad','conducir en exceso de velocidad',1h,0fa
viernes,h17,'choque lateral angular',sucre,-0.5,'imprudencia del conductor','condiciones climaticas desfavorables',0h,0fa
sabado,h20,'choque lateral angular',sucre,0,'imprudencia del conductor','conducir en estado de embriaguez',0h,0fa
domingo,h04,'choque lateral angular',carigan,-0.75,'conducir en estado de embriaguez','no respetar las senales de transito',0h,0fa
lunes,h16,'roce negativo',sucre,-0.413793,'imprudencia del conductor','conducir en exceso de velocidad',5h,0fa
viernes,h18,'choque lateral angular',sucre,-1,'conducir en estado de embriaguez','no ceder el derecho de via',0h,0fa
viernes,h16,estrellamiento,sucre,0.122881,'conducir en exceso de velocidad','conducir en exceso de velocidad',0h,0fa
sabado,h00,'choque lateral perpendicular','el sagrario',-0.5,'no ceder el derecho de via','impericia del conductor',0h,0fa
domingo,h04,estrellamiento,carigan,-0.305085,'conducir en exceso de velocidad','imprudencia del conductor',1h,0fa
