@relation AT2018_2019_2020_NBD_caso2_predicted

@attribute 'prediction margin' numeric
@attribute 'predicted dia' {lunes_martes_miercoles,jueves_viernes,sabado_domingo}
@attribute dia {lunes_martes_miercoles,jueves_viernes,sabado_domingo}
@attribute hora {h12_h15,h20_h23,h16_h19,h00_h03,h08_h11,h04_h07}
@attribute tipologia {atropello,choque,estrellamiento,roce,colision,'perdida de carril_pista','caida de pasajero',atipico,encunetamiento,arrollamiento,volcamiento}
@attribute parroquia_urbana {punzara,sucre,'san sebastian',carigan,'el sagrario','el valle'}
@attribute causas {'imprudencia del peaton','negligencia del conductor','condiciones climaticas desfavorables','fallas mecanicas no previsibles','imprudencia del conductor','conducir en estado de embriaguez','no ceder el derecho de via','cambio brusco e indebido de carril','no mantener la distancia reglamentaria','inobservancia de leyes de transito','no respetar las senales de transito','conducir en exceso de velocidad','invadir carril de circulacion','razones desconocidas','no respetar las ordenes del agente de transito','impericia del conductor'}
@attribute nro_heridos {1h,0h,3h,2h,4h,5h,6h}
@attribute nro_fallecidos {0fa,1fa}

@data
-0.26383,sabado_domingo,jueves_viernes,h08_h11,estrellamiento,'el valle','conducir en estado de embriaguez',1h,0fa
-0.280851,sabado_domingo,lunes_martes_miercoles,h16_h19,choque,punzara,'conducir en estado de embriaguez',1h,0fa
0.21875,lunes_martes_miercoles,lunes_martes_miercoles,h12_h15,choque,sucre,'no mantener la distancia reglamentaria',0h,0fa
-0.4,sabado_domingo,jueves_viernes,h08_h11,atropello,sucre,'imprudencia del peaton',1h,0fa
0.26383,sabado_domingo,sabado_domingo,h04_h07,choque,sucre,'conducir en estado de embriaguez',0h,0fa
-0.28125,lunes_martes_miercoles,sabado_domingo,h08_h11,choque,sucre,'no mantener la distancia reglamentaria',0h,0fa
0,lunes_martes_miercoles,sabado_domingo,h12_h15,estrellamiento,'san sebastian','conducir en exceso de velocidad',1h,0fa
-0.2,jueves_viernes,sabado_domingo,h20_h23,estrellamiento,sucre,'conducir en exceso de velocidad',0h,0fa
-0.714286,sabado_domingo,lunes_martes_miercoles,h00_h03,estrellamiento,'san sebastian','conducir en exceso de velocidad',1h,0fa
0.19403,lunes_martes_miercoles,lunes_martes_miercoles,h12_h15,choque,'san sebastian','no respetar las senales de transito',0h,0fa
-0.2,sabado_domingo,jueves_viernes,h20_h23,estrellamiento,sucre,'conducir en exceso de velocidad',1h,0fa
0,jueves_viernes,jueves_viernes,h16_h19,choque,sucre,'condiciones climaticas desfavorables',0h,0fa
0.26383,sabado_domingo,sabado_domingo,h20_h23,choque,sucre,'conducir en estado de embriaguez',0h,0fa
-0.238806,lunes_martes_miercoles,sabado_domingo,h04_h07,choque,carigan,'no respetar las senales de transito',0h,0fa
-0.118182,sabado_domingo,lunes_martes_miercoles,h16_h19,encunetamiento,sucre,'conducir en exceso de velocidad',5h,0fa
-1,sabado_domingo,jueves_viernes,h16_h19,choque,sucre,'no ceder el derecho de via',0h,0fa
-0.444444,sabado_domingo,jueves_viernes,h16_h19,estrellamiento,sucre,'conducir en exceso de velocidad',0h,0fa
-1,lunes_martes_miercoles,sabado_domingo,h00_h03,choque,'el sagrario','impericia del conductor',0h,0fa
0.5,sabado_domingo,sabado_domingo,h04_h07,estrellamiento,carigan,'imprudencia del conductor',1h,0fa
0.26383,sabado_domingo,sabado_domingo,h04_h07,choque,punzara,'conducir en estado de embriaguez',2h,0fa
-0.4,lunes_martes_miercoles,sabado_domingo,h04_h07,choque,'el valle','no ceder el derecho de via',0h,0fa
-1,lunes_martes_miercoles,sabado_domingo,h20_h23,choque,punzara,'impericia del conductor',1h,0fa
-0.280851,sabado_domingo,lunes_martes_miercoles,h00_h03,'perdida de carril_pista',punzara,'conducir en estado de embriaguez',3h,0fa
-0.2,jueves_viernes,sabado_domingo,h20_h23,estrellamiento,'el valle','conducir en exceso de velocidad',0h,0fa
0.288889,sabado_domingo,sabado_domingo,h04_h07,choque,'san sebastian','imprudencia del conductor',1h,0fa
-0.1875,sabado_domingo,lunes_martes_miercoles,h04_h07,choque,'el sagrario','conducir en exceso de velocidad',0h,0fa
-0.6,sabado_domingo,lunes_martes_miercoles,h20_h23,choque,'el sagrario','conducir en exceso de velocidad',1h,0fa
-0.311111,sabado_domingo,lunes_martes_miercoles,h12_h15,choque,'el sagrario','imprudencia del conductor',1h,0fa
0.26383,sabado_domingo,sabado_domingo,h04_h07,choque,'el sagrario','conducir en estado de embriaguez',0h,0fa
-0.25,lunes_martes_miercoles,jueves_viernes,h16_h19,'perdida de carril_pista',sucre,'fallas mecanicas no previsibles',2h,0fa
