@relation AT2018_2019_2020_NBD_caso1_predicted

@attribute dia {miercoles,jueves,viernes,sabado,domingo,lunes,martes}
@attribute hora {h13,h20,h18,h21,h19,h02,h17,h12,h03,h16,h01,h08,h05,h14,h23,h07,h10,h15,h00,h11,h09,h22,h06,h04}
@attribute tipologia {atropello,'choque lateral perpendicular',estrellamiento,'choque frontal longitudinal','choque lateral angular','roce negativo',colision,'choque por alcance','roce positivo','perdida de carril','choque frontal excentrico','caida de pasajero','perdida de pista',atipico,encunetamiento,arrollamiento,rozamiento,'volcamiento lateral','volcamiento longitudinal',volcamiento}
@attribute parroquia_urbana {punzara,sucre,'san sebastian',carigan,'el sagrario','el valle'}
@attribute causas {'imprudencia del peaton','negligencia del conductor','condiciones climaticas desfavorables','fallas mecanicas no previsibles','imprudencia del conductor','conducir en estado de embriaguez','no ceder el derecho de via','cambio brusco e indebido de carril','no mantener la distancia reglamentaria','inobservancia de leyes de transito','no respetar las senales de transito','conducir en exceso de velocidad','invadir carril de circulacion','razones desconocidas','no respetar las ordenes del agente de transito','impericia del conductor'}
@attribute 'prediction margin' numeric
@attribute 'predicted nro_heridos' {1h,0h,3h,2h,4h,5h,6h}
@attribute nro_heridos {1h,0h,3h,2h,4h,5h,6h}
@attribute nro_fallecidos {0fa,1fa}

@data
viernes,h11,estrellamiento,'el valle','conducir en estado de embriaguez',-0.661017,0h,1h,0fa
martes,h17,'choque lateral perpendicular',punzara,'conducir en estado de embriaguez',-0.144144,0h,1h,0fa
martes,h12,'choque por alcance',sucre,'no mantener la distancia reglamentaria',0.641791,0h,0h,0fa
viernes,h10,atropello,sucre,'imprudencia del peaton',0.84,1h,1h,0fa
sabado,h06,'choque lateral angular',sucre,'conducir en estado de embriaguez',0.213198,0h,0h,0fa
domingo,h10,'choque por alcance',sucre,'no mantener la distancia reglamentaria',0.641791,0h,0h,0fa
domingo,h15,estrellamiento,'san sebastian','conducir en exceso de velocidad',-0.661017,0h,1h,0fa
domingo,h22,estrellamiento,sucre,'conducir en exceso de velocidad',0.661017,0h,0h,0fa
lunes,h02,estrellamiento,'san sebastian','conducir en exceso de velocidad',-0.661017,0h,1h,0fa
martes,h14,'choque lateral perpendicular','san sebastian','no respetar las senales de transito',0.144144,0h,0h,0fa
jueves,h23,estrellamiento,sucre,'conducir en exceso de velocidad',-0.661017,0h,1h,0fa
viernes,h17,'choque lateral angular',sucre,'condiciones climaticas desfavorables',0.213198,0h,0h,0fa
sabado,h20,'choque lateral angular',sucre,'conducir en estado de embriaguez',0.213198,0h,0h,0fa
