@relation AT2018_2019_2020_NBD_caso3_predicted

@attribute dia {lunes_martes_miercoles,jueves_viernes,sabado_domingo}
@attribute hora {h12_h17,h18_h23,h00_h05,h06_h11}
@attribute 'prediction margin' numeric
@attribute 'predicted tipologia' {atropello,choque,estrellamiento,roce,colision,'perdida de carril_pista','caida de pasajero',atipico,encunetamiento,arrollamiento,volcamiento}
@attribute tipologia {atropello,choque,estrellamiento,roce,colision,'perdida de carril_pista','caida de pasajero',atipico,encunetamiento,arrollamiento,volcamiento}
@attribute parroquia_urbana {punzara,sucre,'san sebastian',carigan,'el sagrario','el valle'}
@attribute causas {'imprudencia del peaton','negligencia del conductor','condiciones climaticas desfavorables','fallas mecanicas no previsibles','imprudencia del conductor','conducir en estado de embriaguez','no ceder el derecho de via','cambio brusco e indebido de carril','no mantener la distancia reglamentaria','inobservancia de leyes de transito','no respetar las senales de transito','conducir en exceso de velocidad','invadir carril de circulacion','razones desconocidas','no respetar las ordenes del agente de transito','impericia del conductor'}
@attribute nro_heridos {1h,0h,3h,2h,4h,5h,6h}
@attribute nro_fallecidos {0fa,1fa}

@data
jueves_viernes,h06_h11,-0.178723,choque,estrellamiento,'el valle','conducir en estado de embriaguez',1h,0fa
lunes_martes_miercoles,h12_h17,0.178723,choque,choque,punzara,'conducir en estado de embriaguez',1h,0fa
lunes_martes_miercoles,h12_h17,0.697674,choque,choque,sucre,'no mantener la distancia reglamentaria',0h,0fa
jueves_viernes,h06_h11,0.882353,atropello,atropello,sucre,'imprudencia del peaton',1h,0fa
sabado_domingo,h06_h11,0.178723,choque,choque,sucre,'conducir en estado de embriaguez',0h,0fa
sabado_domingo,h06_h11,0.697674,choque,choque,sucre,'no mantener la distancia reglamentaria',0h,0fa
sabado_domingo,h12_h17,-0.5,atropello,estrellamiento,'san sebastian','conducir en exceso de velocidad',1h,0fa
sabado_domingo,h18_h23,0.229299,estrellamiento,estrellamiento,sucre,'conducir en exceso de velocidad',0h,0fa
lunes_martes_miercoles,h00_h05,0.7,estrellamiento,estrellamiento,'san sebastian','conducir en exceso de velocidad',1h,0fa
lunes_martes_miercoles,h12_h17,0.910448,choque,choque,'san sebastian','no respetar las senales de transito',0h,0fa
jueves_viernes,h18_h23,-0.111111,'perdida de carril_pista',estrellamiento,sucre,'conducir en exceso de velocidad',1h,0fa
jueves_viernes,h12_h17,0.5,choque,choque,sucre,'condiciones climaticas desfavorables',0h,0fa
sabado_domingo,h18_h23,0.178723,choque,choque,sucre,'conducir en estado de embriaguez',0h,0fa
sabado_domingo,h00_h05,0.910448,choque,choque,carigan,'no respetar las senales de transito',0h,0fa
lunes_martes_miercoles,h12_h17,-0.477273,estrellamiento,roce,sucre,'conducir en exceso de velocidad',5h,0fa
jueves_viernes,h18_h23,1,choque,choque,sucre,'no ceder el derecho de via',0h,0fa
jueves_viernes,h12_h17,0.229299,estrellamiento,estrellamiento,sucre,'conducir en exceso de velocidad',0h,0fa
sabado_domingo,h00_h05,-1,estrellamiento,choque,'el sagrario','impericia del conductor',0h,0fa
sabado_domingo,h00_h05,-0.422727,choque,estrellamiento,carigan,'imprudencia del conductor',1h,0fa
sabado_domingo,h06_h11,0.178723,choque,choque,punzara,'conducir en estado de embriaguez',2h,0fa
sabado_domingo,h00_h05,1,choque,choque,'el valle','no ceder el derecho de via',0h,0fa
sabado_domingo,h18_h23,-1,estrellamiento,choque,punzara,'impericia del conductor',1h,0fa
lunes_martes_miercoles,h00_h05,-0.434043,choque,'perdida de carril_pista',punzara,'conducir en estado de embriaguez',3h,0fa
sabado_domingo,h18_h23,0.229299,estrellamiento,estrellamiento,'el valle','conducir en exceso de velocidad',0h,0fa
sabado_domingo,h06_h11,0.422727,choque,choque,'san sebastian','imprudencia del conductor',1h,0fa
lunes_martes_miercoles,h06_h11,-0.44586,estrellamiento,choque,'el sagrario','conducir en exceso de velocidad',0h,0fa
lunes_martes_miercoles,h18_h23,-0.222222,'perdida de carril_pista',choque,'el sagrario','conducir en exceso de velocidad',1h,0fa
lunes_martes_miercoles,h12_h17,0.422727,choque,choque,'el sagrario','imprudencia del conductor',1h,0fa
sabado_domingo,h00_h05,0.178723,choque,choque,'el sagrario','conducir en estado de embriaguez',0h,0fa
jueves_viernes,h12_h17,1,'perdida de carril_pista','perdida de carril_pista',sucre,'fallas mecanicas no previsibles',2h,0fa
lunes_martes_miercoles,h12_h17,0.422727,choque,choque,'san sebastian','imprudencia del conductor',2h,0fa
lunes_martes_miercoles,h18_h23,0.178723,choque,choque,'san sebastian','conducir en estado de embriaguez',0h,0fa
lunes_martes_miercoles,h00_h05,0.422727,choque,choque,'san sebastian','imprudencia del conductor',0h,0fa
