@relation MarginCurve

@attribute Instance_number numeric
@attribute Margin numeric
@attribute Current numeric
@attribute Cumulative numeric

@data
0,-1,0,0
1,-1,1,1
2,-1,1,2
3,-1,1,3
4,-1,1,4
5,-1,1,5
6,-1,1,6
7,-1,1,7
8,-1,1,8
9,-1,1,9
10,-0.857143,1,10
11,-0.75,1,11
12,-0.75,1,12
13,-0.75,1,13
14,-0.75,1,14
15,-0.75,1,15
16,-0.714286,1,16
17,-0.6,1,17
18,-0.6,1,18
19,-0.6,1,19
20,-0.555556,1,20
21,-0.5,1,21
22,-0.5,1,22
23,-0.5,1,23
24,-0.5,1,24
25,-0.5,1,25
26,-0.5,1,26
27,-0.5,1,27
28,-0.5,1,28
29,-0.5,1,29
30,-0.5,1,30
31,-0.454545,1,31
32,-0.444444,1,32
33,-0.444444,1,33
34,-0.428571,1,34
35,-0.428571,1,35
36,-0.428571,1,36
37,-0.4,1,37
38,-0.4,1,38
39,-0.4,1,39
40,-0.4,1,40
41,-0.388889,1,41
42,-0.384615,1,42
43,-0.384615,1,43
44,-0.384615,1,44
45,-0.384615,1,45
46,-0.363636,1,46
47,-0.363636,1,47
48,-0.363636,1,48
49,-0.333333,1,49
50,-0.333333,1,50
51,-0.333333,1,51
52,-0.311111,1,52
53,-0.311111,1,53
54,-0.311111,1,54
55,-0.311111,1,55
56,-0.311111,1,56
57,-0.311111,1,57
58,-0.311111,1,58
59,-0.311111,1,59
60,-0.311111,1,60
61,-0.298507,1,61
62,-0.298507,1,62
63,-0.298507,1,63
64,-0.298507,1,64
65,-0.298507,1,65
66,-0.298507,1,66
67,-0.298507,1,67
68,-0.298507,1,68
69,-0.298507,1,69
70,-0.298507,1,70
71,-0.298507,1,71
72,-0.298507,1,72
73,-0.298507,1,73
74,-0.298507,1,74
75,-0.298507,1,75
76,-0.298507,1,76
77,-0.298507,1,77
78,-0.298507,1,78
79,-0.288889,1,79
80,-0.288889,1,80
81,-0.288889,1,81
82,-0.288889,1,82
83,-0.288889,1,83
84,-0.288889,1,84
85,-0.288889,1,85
86,-0.288889,1,86
87,-0.288889,1,87
88,-0.288889,1,88
89,-0.288889,1,89
90,-0.285714,1,90
91,-0.28125,1,91
92,-0.280851,1,92
93,-0.280851,1,93
94,-0.280851,1,94
95,-0.280851,1,95
96,-0.280851,1,96
97,-0.280851,1,97
98,-0.280851,1,98
99,-0.280851,1,99
100,-0.280851,1,100
101,-0.280851,1,101
102,-0.280851,1,102
103,-0.280851,1,103
104,-0.280851,1,104
105,-0.280851,1,105
106,-0.280851,1,106
107,-0.280851,1,107
108,-0.280851,1,108
109,-0.280851,1,109
110,-0.280851,1,110
111,-0.280851,1,111
112,-0.28,1,112
113,-0.28,1,113
114,-0.28,1,114
115,-0.28,1,115
116,-0.28,1,116
117,-0.28,1,117
118,-0.28,1,118
119,-0.28,1,119
120,-0.277778,1,120
121,-0.277778,1,121
122,-0.277778,1,122
123,-0.277778,1,123
124,-0.26383,1,124
125,-0.26383,1,125
126,-0.26383,1,126
127,-0.26383,1,127
128,-0.26383,1,128
129,-0.26383,1,129
130,-0.26383,1,130
131,-0.26383,1,131
132,-0.26383,1,132
133,-0.26383,1,133
134,-0.26383,1,134
135,-0.26383,1,135
136,-0.26383,1,136
137,-0.26383,1,137
138,-0.26383,1,138
139,-0.26383,1,139
140,-0.26383,1,140
141,-0.26383,1,141
142,-0.26383,1,142
143,-0.26383,1,143
144,-0.26383,1,144
145,-0.26383,1,145
146,-0.26383,1,146
147,-0.26383,1,147
148,-0.26383,1,148
149,-0.26383,1,149
150,-0.25641,1,150
151,-0.25,1,151
152,-0.25,1,152
153,-0.25,1,153
154,-0.238806,1,154
155,-0.238806,1,155
156,-0.238806,1,156
157,-0.238806,1,157
158,-0.230769,1,158
159,-0.230769,1,159
160,-0.222222,1,160
161,-0.21307,1,161
162,-0.205128,1,162
163,-0.205128,1,163
164,-0.205128,1,164
165,-0.205128,1,165
166,-0.205128,1,166
167,-0.205128,1,167
168,-0.205128,1,168
169,-0.2,1,169
170,-0.2,1,170
171,-0.2,1,171
172,-0.2,1,172
173,-0.2,1,173
174,-0.2,1,174
175,-0.2,1,175
176,-0.19403,1,176
177,-0.19403,1,177
178,-0.19403,1,178
179,-0.19403,1,179
180,-0.19403,1,180
181,-0.1875,1,181
182,-0.1875,1,182
183,-0.1875,1,183
184,-0.1875,1,184
185,-0.142327,1,185
186,-0.136364,1,186
187,-0.118182,1,187
188,-0.118182,1,188
189,-0.1,1,189
190,-0.1,1,190
191,-0.1,1,191
192,-0.1,1,192
193,-0.1,1,193
194,-0.1,1,194
195,-0.090909,1,195
196,-0.089552,1,196
197,-0.089552,1,197
198,-0.089552,1,198
199,-0.089552,1,199
200,-0.089552,1,200
201,-0.089552,1,201
202,-0.089552,1,202
203,-0.089552,1,203
204,-0.089552,1,204
205,-0.089552,1,205
206,-0.089552,1,206
207,-0.089552,1,207
208,-0.089552,1,208
209,-0.089552,1,209
210,-0.089552,1,210
211,-0.089552,1,211
212,-0.089552,1,212
213,-0.089552,1,213
214,-0.089552,1,214
215,-0.089552,1,215
216,-0.089552,1,216
217,-0.089552,1,217
218,-0.089552,1,218
219,-0.089552,1,219
220,-0.089552,1,220
221,-0.089552,1,221
222,-0.076923,1,222
223,-0.04,1,223
224,-0.04,1,224
225,-0.04,1,225
226,-0.04,1,226
227,-0.04,1,227
228,-0.04,1,228
229,-0.04,1,229
230,0,1,230
231,0,1,231
232,0,1,232
233,0,1,233
234,0,1,234
235,0,1,235
236,0,1,236
237,0,1,237
238,0,1,238
239,0,1,239
240,0,1,240
241,0,1,241
242,0,1,242
243,0,1,243
244,0,1,244
245,0,1,245
246,0,1,246
247,0,1,247
248,0.04,1,248
249,0.04,1,249
250,0.04,1,250
251,0.04,1,251
252,0.04,1,252
253,0.04,1,253
254,0.089552,1,254
255,0.089552,1,255
256,0.089552,1,256
257,0.089552,1,257
258,0.089552,1,258
259,0.089552,1,259
260,0.089552,1,260
261,0.089552,1,261
262,0.089552,1,262
263,0.089552,1,263
264,0.090909,1,264
265,0.1,1,265
266,0.1,1,266
267,0.1,1,267
268,0.1,1,268
269,0.1,1,269
270,0.1,1,270
271,0.1,1,271
272,0.111111,1,272
